"","mother","sample","origin","code","n_tot","n_delly","n_gatk","nr_n","nr_het","nr_homo","nr_uni","nr_uniHet","nr_uniHomo","motherDL","sampleDL","lfm_n","lfm_het","lfm_homo","lfm_hetProp","cp_logic","father","likelySelf","originMod","coverage","cp_status"
"1384","FIL30_351","FIL30_351_M2","FIL30.351.M2","FIL30_351|FIL30_351_M2|FIL30.351.M2",89,14,75,78,23,55,71,50,21,FALSE,FALSE,68,45,23,0.661764705882353,FALSE,"FIL30_351",TRUE,"FIL30_351_M2",69.7204912432187,"Self"
"1052","FIL30_352","FIL30_352_M2","FIL30.352.M2","FIL30_352|FIL30_352_M2|FIL30.352.M2",113,47,66,87,24,63,40,30,10,FALSE,FALSE,61,40,21,0.655737704918033,FALSE,"FIL30_352",TRUE,"FIL30_352_M2",40.1882231120875,"Self"
"130","FIL30_353","FIL30_353_M2","FIL30.353.M2","FIL30_353|FIL30_353_M2|FIL30.353.M2",100,30,70,90,NA,90,62,62,NA,FALSE,FALSE,67,67,NA,1,TRUE,NA,FALSE,"FIL30_353_M2",68.7018223373196,"Cross"
"194","FIL30_354","FIL30_354_M2","FIL30.354.M2","FIL30_354|FIL30_354_M2|FIL30.354.M2",106,39,67,96,27,69,85,61,24,FALSE,FALSE,67,45,22,0.671641791044776,FALSE,"FIL30_354",TRUE,"FIL30_354_M2",36.2647109559789,"Self"
"203","FIL30_355","FIL30_355_M2","FIL30.355.M2","FIL30_355|FIL30_355_M2|FIL30.355.M2",138,31,107,118,NA,118,78,78,NA,FALSE,FALSE,100,100,NA,1,TRUE,NA,FALSE,"FIL30_355_M2",55.635760260008,"Cross"
"582","FIL30_356","FIL30_356_M2","FIL30.356.M2","FIL30_356|FIL30_356_M2|FIL30.356.M2",87,26,61,76,15,61,64,49,15,FALSE,FALSE,54,43,11,0.796296296296296,FALSE,"FIL30_356",TRUE,"FIL30_356_M2",50.6362212255655,"Self"
"237","FIL30_357","FIL30_357_M2","FIL30.357.M2","FIL30_357|FIL30_357_M2|FIL30.357.M2",81,11,70,78,36,42,66,36,30,FALSE,FALSE,68,34,34,0.5,FALSE,"FIL30_357",TRUE,"FIL30_357_M2",58.8462945729033,"Self"
"1218","FIL30_358","FIL30_358_M2","FIL30.358.M2","FIL30_358|FIL30_358_M2|FIL30.358.M2",106,25,81,96,17,79,77,62,15,FALSE,FALSE,78,61,17,0.782051282051282,FALSE,"FIL30_358",TRUE,"FIL30_358_M2",51.0530342365367,"Self"
"181","FIL30_359","FIL30_359_M2","FIL30.359.M2","FIL30_359|FIL30_359_M2|FIL30.359.M2",100,38,62,87,21,66,75,55,20,FALSE,FALSE,60,43,17,0.716666666666667,FALSE,"FIL30_359",TRUE,"FIL30_359_M2",39.4833488219744,"Self"
"2867","FIL30_36","FIL30_36_M2","FIL30_36_M2-2","FIL30_36|FIL30_36_M2|FIL30_36_M2-2",125,36,89,112,11,101,99,90,9,FALSE,FALSE,84,73,11,0.869047619047619,FALSE,"FIL30_36",TRUE,"FIL30_36_M2_2",45.2897743616802,"Self"
"248","FIL30_360","FIL30_360_M2","FIL30.360.M2","FIL30_360|FIL30_360_M2|FIL30.360.M2",89,25,64,83,10,73,72,65,7,FALSE,FALSE,63,54,9,0.857142857142857,FALSE,"FIL30_360",TRUE,"FIL30_360_M2",48.2022153902885,"Self"
"609","FIL30_361","FIL30_361_M2","FIL30.361.M2","FIL30_361|FIL30_361_M2|FIL30.361.M2",113,50,63,92,30,62,71,45,26,FALSE,FALSE,62,38,24,0.612903225806452,FALSE,"FIL30_361",TRUE,"FIL30_361_M2",55.7244966692181,"Self"
"1270","FIL30_362","FIL30_362_M2","FIL30.362.M2","FIL30_362|FIL30_362_M2|FIL30.362.M2",124,40,84,104,11,93,84,75,9,FALSE,FALSE,79,68,11,0.860759493670886,FALSE,"FIL30_362",TRUE,"FIL30_362_M2",46.1685753454879,"Self"
"382","FIL30_363","FIL30_363_M2","FIL30.363.M2","FIL30_363|FIL30_363_M2|FIL30.363.M2",114,41,73,88,23,65,42,35,7,FALSE,FALSE,73,51,22,0.698630136986301,FALSE,"FIL30_363",TRUE,"FIL30_363_M2",60.0904513269716,"Self"
"218","FIL30_364","FIL30_364_M2","FIL30.364.M2","FIL30_364|FIL30_364_M2|FIL30.364.M2",125,43,82,106,NA,106,83,83,NA,FALSE,FALSE,76,76,NA,1,TRUE,NA,FALSE,"FIL30_364_M2",47.8256902139351,"Cross"
"988","FIL30_365","FIL30_365_M2","FIL30.365.M2","FIL30_365|FIL30_365_M2|FIL30.365.M2",128,44,84,103,22,81,81,63,18,FALSE,FALSE,75,54,21,0.72,FALSE,"FIL30_365",TRUE,"FIL30_365_M2",60.6917434489366,"Self"
"967","FIL30_366","FIL30_366_M2","FIL30.366.M2","FIL30_366|FIL30_366_M2|FIL30.366.M2",94,30,64,89,18,71,81,63,18,FALSE,FALSE,63,46,17,0.73015873015873,FALSE,"FIL30_366",TRUE,"FIL30_366_M2",61.771997730528,"Self"
"324","FIL30_367","FIL30_367_M2","FIL30.367.M2","FIL30_367|FIL30_367_M2|FIL30.367.M2",82,13,69,77,39,38,61,29,32,FALSE,FALSE,67,29,38,0.432835820895522,FALSE,"FIL30_367",TRUE,"FIL30_367_M2",59.1715375223501,"Self"
"4694","FIL30_368","FIL30_368_M2","FIL30.368.M2","FIL30_368|FIL30_368_M2|FIL30.368.M2",143,43,100,125,NA,125,85,85,NA,FALSE,FALSE,93,93,NA,1,TRUE,NA,FALSE,"FIL30_368_M2",53.0034376853106,"Cross"
"229","FIL30_369","FIL30_369_M2","FIL30.369.M2","FIL30_369|FIL30_369_M2|FIL30.369.M2",99,20,79,92,29,63,83,56,27,FALSE,FALSE,78,52,26,0.666666666666667,FALSE,"FIL30_369",TRUE,"FIL30_369_M2",55.8858315617192,"Self"
"5574","FIL30_37","FIL30_37_M2","FIL30_37_M2-2","FIL30_37|FIL30_37_M2|FIL30_37_M2-2",121,24,97,102,11,91,84,75,9,FALSE,FALSE,85,75,10,0.882352941176471,FALSE,"FIL30_37",TRUE,"FIL30_37_M2_2",45.1487045786594,"Self"
"1504","FIL30_370","FIL30_370_M2","FIL30.370.M2","FIL30_370|FIL30_370_M2|FIL30.370.M2",76,17,59,68,31,37,58,29,29,FALSE,FALSE,54,27,27,0.5,FALSE,"FIL30_370",TRUE,"FIL30_370_M2",45.058580421366,"Self"
"222","FIL30_372","FIL30_372_M2","FIL30.372.M2","FIL30_372|FIL30_372_M2|FIL30.372.M2",140,48,92,125,28,97,108,82,26,FALSE,FALSE,87,63,24,0.724137931034483,FALSE,"FIL30_372",TRUE,"FIL30_372_M2",36.5696846951608,"Self"
