"","i","j","iSam","jSam","het_het","het_homo","homo_het","homo_homo","len_i","len_j","tot_i","tot_j","logicSum","totSum","totMean","totProp","crToIb","ibToCr","ibToIb","fs","iSam_mother","iSam_father","jSam_mother","jSam_father","minTest","""...""","mother","sample","origin","code","n_tot","n_delly","n_gatk","nr_n","nr_het","nr_homo","nr_uni","nr_uniHet","nr_uniHomo","motherDL","sampleDL","lfm_n","lfm_het","lfm_homo","lfm_hetProp","cp_logic","father","likelySelf","originMod","coverage","cp_status","""...""","mother","sample","origin","code","n_tot","n_delly","n_gatk","nr_n","nr_het","nr_homo","nr_uni","nr_uniHet","nr_uniHomo","motherDL","sampleDL","lfm_n","lfm_het","lfm_homo","lfm_hetProp","cp_logic","father","likelySelf","originMod","coverage","cp_status"
"FIL30_125_M244",78,45,"FIL30_125_M2","FIL20_66_F_M2",6,0,0,0,18,22,76,38,6,114,57,0.105263157894737,9.84210526315789,27.4210526315789,32.6447368421053,35.8421052631579,"FIL30_125",NA,"FIL20_66","FIL20_66",9.84210526315789,"...","FIL30_125","FIL30_125_M2","FIL30_125_M2-3","FIL30_125|FIL30_125_M2|FIL30_125_M2-3",86,10,76,77,NA,77,53,53,NA,FALSE,FALSE,69,69,NA,1,TRUE,NA,FALSE,"FIL30_125_M2_3",46.2265598580347,"Cross","...","FIL20_66","FIL20_66_F_M2","Fil20_66_F_M2_1","FIL20_66|FIL20_66_F_M2|Fil20_66_F_M2_1",43,6,37,39,5,34,15,15,NA,TRUE,FALSE,34,29,5,0.852941176470588,FALSE,"FIL20_66",TRUE,"FIL20_66_F_M2_1",61.5786972680514,"Self"
"FIL30_202_M2347",149,348,"FIL30_202_M2","FIL30_409_M2",10,0,0,0,32,16,113,85,10,198,99,0.101010101010101,26.0294117647059,39.1548672566372,57.280303030303,63.1228526808954,"FIL30_202",NA,"FIL30_409",NA,26.0294117647059,"...","FIL30_202","FIL30_202_M2","FIL30_202_M2-3","FIL30_202|FIL30_202_M2|FIL30_202_M2-3",123,19,104,113,NA,113,74,74,NA,FALSE,FALSE,99,99,NA,1,TRUE,NA,FALSE,"FIL30_202_M2_3",31.754341732258,"Cross","...","FIL30_409","FIL30_409_M2","FIL30.409.M2","FIL30_409|FIL30_409_M2|FIL30.409.M2",97,34,63,86,NA,86,64,64,NA,FALSE,FALSE,61,61,NA,1,TRUE,NA,FALSE,"FIL30_409_M2",60.7379219577182,"Cross"
"FIL30_409_M2148",348,149,"FIL30_409_M2","FIL30_202_M2",10,0,0,0,16,32,85,113,10,198,99,0.101010101010101,39.1548672566372,26.0294117647059,57.280303030303,63.1228526808954,"FIL30_409",NA,"FIL30_202",NA,26.0294117647059,"...","FIL30_409","FIL30_409_M2","FIL30.409.M2","FIL30_409|FIL30_409_M2|FIL30.409.M2",97,34,63,86,NA,86,64,64,NA,FALSE,FALSE,61,61,NA,1,TRUE,NA,FALSE,"FIL30_409_M2",60.7379219577182,"Cross","...","FIL30_202","FIL30_202_M2","FIL30_202_M2-3","FIL30_202|FIL30_202_M2|FIL30_202_M2-3",123,19,104,113,NA,113,74,74,NA,FALSE,FALSE,99,99,NA,1,TRUE,NA,FALSE,"FIL30_202_M2_3",31.754341732258,"Cross"
"FIL30_509_M2413",443,414,"FIL30_509_M2","FIL30_475_M2",4,4,0,0,14,35,109,50,8,159,79.5,0.10062893081761,11.88,46.9403669724771,45.436320754717,64.4335779816514,"FIL30_509",NA,"FIL30_475","FIL30_475",11.88,"...","FIL30_509","FIL30_509_M2","FIL30.509.M2","FIL30_509|FIL30_509_M2|FIL30.509.M2",126,41,85,109,NA,109,87,87,NA,FALSE,FALSE,81,81,NA,1,TRUE,NA,FALSE,"FIL30_509_M2",47.345570314079,"Cross","...","FIL30_475","FIL30_475_M2","FIL30.475.M2","FIL30_475|FIL30_475_M2|FIL30.475.M2",62,8,54,52,7,45,13,12,1,FALSE,FALSE,47,41,6,0.872340425531915,FALSE,"FIL30_475",TRUE,"FIL30_475_M2",53.8337080755005,"Self"
"FIL30_123_M2734",76,735,"FIL30_123_M2","FIL30_85_D_M2",5,2,0,1,19,29,123,37,8,160,80,0.1,7.17567567567568,52.109756097561,45.3875,61.757855416392,"FIL30_123",NA,"FIL30_85","FIL30_85",7.17567567567568,"...","FIL30_123","FIL30_123_M2","FIL30_123_M2-2","FIL30_123|FIL30_123_M2|FIL30_123_M2-2",136,29,107,125,1,124,100,100,NA,FALSE,FALSE,105,104,1,0.990476190476191,FALSE,NA,FALSE,"FIL30_123_M2_2",46.8506528590557,"Ambiguous","...","FIL30_85","FIL30_85_D_M2","Fil30_85_D_M2_1","FIL30_85|FIL30_85_D_M2|Fil30_85_D_M2_1",49,12,37,39,8,31,7,6,1,TRUE,FALSE,34,26,8,0.764705882352941,FALSE,"FIL30_85",TRUE,"FIL30_85_D_M2_1",55.7777370937757,"Self"
"FIL30_373_M236",315,37,"FIL30_373_M2","FIL20_47_B_M2",4,3,0,0,22,26,100,41,7,141,70.5,0.099290780141844,8.98780487804878,42.48,40.3218085106383,55.600487804878,"FIL30_373",NA,"FIL20_47","FIL20_47",8.98780487804878,"...","FIL30_373","FIL30_373_M2","FIL30.373.M2","FIL30_373|FIL30_373_M2|FIL30.373.M2",118,40,78,100,NA,100,70,70,NA,FALSE,FALSE,77,77,NA,1,TRUE,NA,FALSE,"FIL30_373_M2",47.9449156838136,"Cross","...","FIL20_47","FIL20_47_B_M2","Fil20_47_B_M2_1","FIL20_47|FIL20_47_B_M2|Fil20_47_B_M2_1",52,17,35,43,9,34,14,14,NA,TRUE,FALSE,34,27,7,0.794117647058823,FALSE,"FIL20_47",TRUE,"FIL20_47_B_M2_1",47.8157173616018,"Self"
"FIL30_283_M225",223,26,"FIL30_283_M2","FIL20_20_H_M2",8,0,0,0,30,29,111,52,8,163,81.5,0.098159509202454,13.6923076923077,41.2297297297297,47.4808282208589,53.1146916146916,"FIL30_283",NA,"FIL20_20","FIL20_20",13.6923076923077,"...","FIL30_283","FIL30_283_M2","FIL30.283.M2","FIL30_283|FIL30_283_M2|FIL30.283.M2",136,45,91,111,NA,111,70,70,NA,FALSE,FALSE,82,82,NA,1,TRUE,NA,FALSE,"FIL30_283_M2",69.674429867341,"Cross","...","FIL20_20","FIL20_20_H_M2","Fil20_20_H_M2_1","FIL20_20|FIL20_20_H_M2|Fil20_20_H_M2_1",65,8,57,54,12,42,22,21,1,TRUE,FALSE,49,38,11,0.775510204081633,FALSE,"FIL20_20",TRUE,"FIL20_20_H_M2_1",59.0753485157025,"Self"
"FIL30_305_M232",244,33,"FIL30_305_M2","FIL20_25_H_M2",6,1,0,0,19,30,87,57,7,144,72,0.0972222222222222,16.5,32.7413793103448,41.5833333333333,50.0907441016334,"FIL30_305",NA,"FIL20_25","FIL20_25",16.5,"...","FIL30_305","FIL30_305_M2","FIL30_305_M2-4","FIL30_305|FIL30_305_M2|FIL30_305_M2-4",94,9,85,88,NA,88,67,67,NA,FALSE,FALSE,79,79,NA,1,TRUE,NA,FALSE,"FIL30_305_M2_4",35.0642491077725,"Cross","...","FIL20_25","FIL20_25_H_M2","Fil20_25_H_M2_1","FIL20_25|FIL20_25_H_M2|Fil20_25_H_M2_1",68,8,60,59,7,52,26,26,NA,TRUE,FALSE,53,46,7,0.867924528301887,FALSE,"FIL20_25",TRUE,"FIL20_25_H_M2_1",46.7178870795211,"Self"
"FIL30_109_I_M2275",64,276,"FIL30_109_I_M2","FIL30_335_M2",3,8,0,0,82,20,110,118,11,228,114,0.0964912280701754,40.4830508474576,49.2454545454545,67.1052631578947,102.316178736518,"FIL30_109",NA,"FIL30_335","FIL30_335",40.4830508474576,"...","FIL30_109","FIL30_109_I_M2","Fil30_109_I_M2_1","FIL30_109|FIL30_109_I_M2|Fil30_109_I_M2_1",118,19,99,111,NA,111,28,28,NA,TRUE,FALSE,95,95,NA,1,TRUE,NA,FALSE,"FIL30_109_I_M2_1",43.8845288833108,"Cross","...","FIL30_335","FIL30_335_M2","FIL30.335.M2","FIL30_335|FIL30_335_M2|FIL30.335.M2",142,29,113,118,35,83,85,63,22,FALSE,FALSE,98,66,32,0.673469387755102,FALSE,"FIL30_335",TRUE,"FIL30_335_M2",68.0748653273192,"Self"
"FIL30_279_M2734",219,735,"FIL30_279_M2","FIL30_85_D_M2",4,1,0,0,7,29,72,37,5,109,54.5,0.0917431192660551,9.95945945945946,28.6666666666667,31.8658256880734,39.8093093093093,"FIL30_279",NA,"FIL30_85","FIL30_85",9.95945945945946,"...","FIL30_279","FIL30_279_M2","FIL30_279_M2-4","FIL30_279|FIL30_279_M2|FIL30_279_M2-4",75,18,57,73,NA,73,63,63,NA,FALSE,FALSE,57,57,NA,1,TRUE,NA,FALSE,"FIL30_279_M2_4",31.1535412406873,"Cross","...","FIL30_85","FIL30_85_D_M2","Fil30_85_D_M2_1","FIL30_85|FIL30_85_D_M2|Fil30_85_D_M2_1",49,12,37,39,8,31,7,6,1,TRUE,FALSE,34,26,8,0.764705882352941,FALSE,"FIL30_85",TRUE,"FIL30_85_D_M2_1",55.7777370937757,"Self"
"FIL20_66_D_M277",43,78,"FIL20_66_D_M2","FIL30_125_M2",6,0,0,0,35,18,55,76,6,131,65.5,0.0916030534351145,27.4210526315789,17.4636363636364,38.7738549618321,43.7564593301435,"FIL20_66",NA,"FIL30_125",NA,17.4636363636364,"...","FIL20_66","FIL20_66_D_M2","Fil20_66_D_M2_1","FIL20_66|FIL20_66_D_M2|Fil20_66_D_M2_1",64,9,55,57,NA,57,20,20,NA,TRUE,FALSE,51,51,NA,1,TRUE,NA,FALSE,"FIL20_66_D_M2_1",92.8383482262631,"Cross","...","FIL30_125","FIL30_125_M2","FIL30_125_M2-3","FIL30_125|FIL30_125_M2|FIL30_125_M2-3",86,10,76,77,NA,77,53,53,NA,FALSE,FALSE,69,69,NA,1,TRUE,NA,FALSE,"FIL30_125_M2_3",46.2265598580347,"Cross"
"FIL30_125_M242",78,43,"FIL30_125_M2","FIL20_66_D_M2",6,0,0,0,18,35,76,55,6,131,65.5,0.0916030534351145,17.4636363636364,27.4210526315789,38.7738549618321,43.7564593301435,"FIL30_125",NA,"FIL20_66",NA,17.4636363636364,"...","FIL30_125","FIL30_125_M2","FIL30_125_M2-3","FIL30_125|FIL30_125_M2|FIL30_125_M2-3",86,10,76,77,NA,77,53,53,NA,FALSE,FALSE,69,69,NA,1,TRUE,NA,FALSE,"FIL30_125_M2_3",46.2265598580347,"Cross","...","FIL20_66","FIL20_66_D_M2","Fil20_66_D_M2_1","FIL20_66|FIL20_66_D_M2|Fil20_66_D_M2_1",64,9,55,57,NA,57,20,20,NA,TRUE,FALSE,51,51,NA,1,TRUE,NA,FALSE,"FIL20_66_D_M2_1",92.8383482262631,"Cross"
"FIL30_197_M253",145,54,"FIL30_197_M2","FIL30_100_M2",6,1,0,0,18,24,70,85,7,155,77.5,0.0903225806451613,29.8411764705882,24.5428571428571,45.5959677419355,55.3756302521008,"FIL30_197",NA,"FIL30_100","FIL30_100",24.5428571428571,"...","FIL30_197","FIL30_197_M2","FIL30_197_M2-3","FIL30_197|FIL30_197_M2|FIL30_197_M2-3",91,20,71,71,NA,71,49,49,NA,FALSE,FALSE,57,57,NA,1,TRUE,NA,FALSE,"FIL30_197_M2_3",33.8305671414783,"Cross","...","FIL30_100","FIL30_100_M2","FIL30_100_M2-2","FIL30_100|FIL30_100_M2|FIL30_100_M2-2",108,18,90,86,18,68,59,49,10,FALSE,FALSE,70,57,13,0.814285714285714,FALSE,"FIL30_100",TRUE,"FIL30_100_M2_2",58.071060691956,"Self"
"FIL30_305_M234",244,35,"FIL30_305_M2","FIL20_25_J_M2",5,1,0,0,19,31,87,47,6,134,67,0.0895522388059701,13.2234042553191,34.3620689655172,39.4589552238806,48.6385424309122,"FIL30_305",NA,"FIL20_25","FIL20_25",13.2234042553191,"...","FIL30_305","FIL30_305_M2","FIL30_305_M2-4","FIL30_305|FIL30_305_M2|FIL30_305_M2-4",94,9,85,88,NA,88,67,67,NA,FALSE,FALSE,79,79,NA,1,TRUE,NA,FALSE,"FIL30_305_M2_4",35.0642491077725,"Cross","...","FIL20_25","FIL20_25_J_M2","Fil20_25_J_M2_1","FIL20_25|FIL20_25_J_M2|Fil20_25_J_M2_1",55,4,51,48,5,43,15,14,1,TRUE,FALSE,44,39,5,0.886363636363636,FALSE,"FIL20_25",TRUE,"FIL20_25_J_M2_1",75.0908713374202,"Self"
"FIL30_43_B_M2370",368,371,"FIL30_43_B_M2","FIL30_43_F_M2",0,0,1,0,2,2,12,11,1,23,11.5,0.0869565217391304,5.5,4.5,7.14673913043478,11.5,"FIL30_43",NA,"FIL30_43",NA,4.5,"...","FIL30_43","FIL30_43_B_M2","Fil30_43_B_M2_1","FIL30_43|FIL30_43_B_M2|Fil30_43_B_M2_1",23,7,16,20,3,17,9,9,NA,TRUE,FALSE,10,8,2,0.8,FALSE,NA,FALSE,"FIL30_43_B_M2_1",46.3139964952105,"Ambiguous","...","FIL30_43","FIL30_43_F_M2","Fil30_43_F_M2_1","FIL30_43|FIL30_43_F_M2|Fil30_43_F_M2_1",25,10,15,19,2,17,7,7,NA,TRUE,FALSE,9,8,1,0.888888888888889,FALSE,NA,FALSE,"FIL30_43_F_M2_1",39.8389480345368,"Ambiguous"
"FIL30_43_F_M2367",371,368,"FIL30_43_F_M2","FIL30_43_B_M2",0,1,0,0,2,2,11,12,1,23,11.5,0.0869565217391304,4.5,5.5,7.14673913043478,11.5,"FIL30_43",NA,"FIL30_43",NA,4.5,"...","FIL30_43","FIL30_43_F_M2","Fil30_43_F_M2_1","FIL30_43|FIL30_43_F_M2|Fil30_43_F_M2_1",25,10,15,19,2,17,7,7,NA,TRUE,FALSE,9,8,1,0.888888888888889,FALSE,NA,FALSE,"FIL30_43_F_M2_1",39.8389480345368,"Ambiguous","...","FIL30_43","FIL30_43_B_M2","Fil30_43_B_M2_1","FIL30_43|FIL30_43_B_M2|Fil30_43_B_M2_1",23,7,16,20,3,17,9,9,NA,TRUE,FALSE,10,8,2,0.8,FALSE,NA,FALSE,"FIL30_43_B_M2_1",46.3139964952105,"Ambiguous"
"FIL30_85_G_M226",737,27,"FIL30_85_G_M2","FIL20_20_I_M2",4,0,0,0,27,31,46,46,4,92,46,0.0869565217391304,16.0434782608696,16.0434782608696,27.5434782608696,31.3913043478261,"FIL30_85",NA,"FIL20_20","FIL20_20",16.0434782608696,"...","FIL30_85","FIL30_85_G_M2","Fil30_85_G_M2_1","FIL30_85|FIL30_85_G_M2|Fil30_85_G_M2_1",48,3,45,47,NA,47,18,18,NA,TRUE,FALSE,44,44,NA,1,TRUE,NA,FALSE,"FIL30_85_G_M2_1",52.3421349430027,"Cross","...","FIL20_20","FIL20_20_I_M2","Fil20_20_I_M2_1","FIL20_20|FIL20_20_I_M2|Fil20_20_I_M2_1",56,4,52,48,16,32,15,15,NA,TRUE,FALSE,46,30,16,0.652173913043478,FALSE,"FIL20_20",TRUE,"FIL20_20_I_M2_1",58.7680386297834,"Self"
"FIL30_195_M219",143,20,"FIL30_195_M2","FIL20_161_J_M2",0,5,0,0,27,14,89,28,5,117,58.5,0.0854700854700855,9.35714285714286,44.5,36.4391025641026,58.5,"FIL30_195",NA,"FIL20_161","FIL20_161",9.35714285714286,"...","FIL30_195","FIL30_195_M2","FIL30_195_M2-3","FIL30_195|FIL30_195_M2|FIL30_195_M2-3",100,12,88,90,NA,90,59,59,NA,FALSE,FALSE,79,79,NA,1,TRUE,NA,FALSE,"FIL30_195_M2_3",30.9772206138489,"Cross","...","FIL20_161","FIL20_161_J_M2","Fil20_161_J_M2_1","FIL20_161|FIL20_161_J_M2|Fil20_161_J_M2_1",33,6,27,30,5,25,13,13,NA,TRUE,FALSE,26,21,5,0.807692307692308,FALSE,"FIL20_161",TRUE,"FIL20_161_J_M2_1",49.2630977835024,"Self"
"FIL30_33_C_M2269",265,270,"FIL30_33_C_M2","FIL30_33_J_M2",0,1,0,1,2,2,29,20,2,49,24.5,0.0816326530612245,8.3,14.5,15.109693877551,24.5,"FIL30_33",NA,"FIL30_33","FIL30_33",8.3,"...","FIL30_33","FIL30_33_C_M2","Fil30_33_C_M2_1","FIL30_33|FIL30_33_C_M2|Fil30_33_C_M2_1",39,4,35,36,3,33,26,26,NA,TRUE,FALSE,29,28,1,0.96551724137931,FALSE,NA,FALSE,"FIL30_33_C_M2_1",61.1829765743424,"Ambiguous","...","FIL30_33","FIL30_33_J_M2","Fil30_33_J_M2_1","FIL30_33|FIL30_33_J_M2|Fil30_33_J_M2_1",27,1,26,26,3,23,17,17,NA,TRUE,FALSE,20,18,2,0.9,FALSE,"FIL30_33",TRUE,"FIL30_33_J_M2_1",69.6142797024908,"Self"
"FIL30_167_M241",117,42,"FIL30_167_M2","FIL20_66_C_M2",2,3,0,0,49,18,87,36,5,123,61.5,0.0813008130081301,9.83333333333333,39.6379310344828,37.1981707317073,53.8141762452107,"FIL30_167",NA,"FIL20_66","FIL20_66",9.83333333333333,"...","FIL30_167","FIL30_167_M2","FIL30_167_M2-3","FIL30_167|FIL30_167_M2|FIL30_167_M2-3",97,15,82,88,NA,88,35,35,NA,FALSE,FALSE,75,75,NA,1,TRUE,NA,FALSE,"FIL30_167_M2_3",39.7545240523026,"Cross","...","FIL20_66","FIL20_66_C_M2","Fil20_66_C_M2_1","FIL20_66|FIL20_66_C_M2|Fil20_66_C_M2_1",38,7,31,37,3,34,18,18,NA,TRUE,FALSE,30,27,3,0.9,FALSE,"FIL20_66",TRUE,"FIL20_66_C_M2_1",44.791089671113,"Self"
"FIL30_202_M2747",149,748,"FIL30_202_M2","FIL30_860_M2",4,5,0,0,32,14,113,113,9,226,113,0.079646017699115,40.2522123893805,48.9247787610619,68.5022123893805,97.5663716814159,"FIL30_202",NA,"FIL30_860","FIL30_860",40.2522123893805,"...","FIL30_202","FIL30_202_M2","FIL30_202_M2-3","FIL30_202|FIL30_202_M2|FIL30_202_M2-3",123,19,104,113,NA,113,74,74,NA,FALSE,FALSE,99,99,NA,1,TRUE,NA,FALSE,"FIL30_202_M2_3",31.754341732258,"Cross","...","FIL30_860","FIL30_860_M2","FIL30.860.M2","FIL30_860|FIL30_860_M2|FIL30.860.M2",129,40,89,115,37,78,92,62,30,FALSE,FALSE,85,55,30,0.647058823529412,FALSE,"FIL30_860",TRUE,"FIL30_860_M2",57.9626663738241,"Self"
"FIL30_237_M2196",180,197,"FIL30_237_M2","FIL30_255_M2",7,0,0,0,52,15,81,103,7,184,92,0.0760869565217391,38.9271844660194,28.3148148148148,56.5978260869565,66.1613328538895,"FIL30_237",NA,"FIL30_255",NA,28.3148148148148,"...","FIL30_237","FIL30_237_M2","FIL30_237_M2-4","FIL30_237|FIL30_237_M2|FIL30_237_M2-4",98,14,84,82,NA,82,24,24,NA,FALSE,FALSE,72,72,NA,1,TRUE,NA,FALSE,"FIL30_237_M2_4",34.7985077292588,"Cross","...","FIL30_255","FIL30_255_M2","FIL30_255_M2-4","FIL30_255|FIL30_255_M2|FIL30_255_M2-4",116,20,96,104,NA,104,82,82,NA,FALSE,FALSE,89,89,NA,1,TRUE,NA,FALSE,"FIL30_255_M2_4",37.5276809904243,"Cross"
"FIL30_255_M2179",197,180,"FIL30_255_M2","FIL30_237_M2",7,0,0,0,15,52,103,81,7,184,92,0.0760869565217391,28.3148148148148,38.9271844660194,56.5978260869565,66.1613328538895,"FIL30_255",NA,"FIL30_237",NA,28.3148148148148,"...","FIL30_255","FIL30_255_M2","FIL30_255_M2-4","FIL30_255|FIL30_255_M2|FIL30_255_M2-4",116,20,96,104,NA,104,82,82,NA,FALSE,FALSE,89,89,NA,1,TRUE,NA,FALSE,"FIL30_255_M2_4",37.5276809904243,"Cross","...","FIL30_237","FIL30_237_M2","FIL30_237_M2-4","FIL30_237|FIL30_237_M2|FIL30_237_M2-4",98,14,84,82,NA,82,24,24,NA,FALSE,FALSE,72,72,NA,1,TRUE,NA,FALSE,"FIL30_237_M2_4",34.7985077292588,"Cross"
"FIL30_756_M2717",661,718,"FIL30_756_M2","FIL30_826_M2",8,0,0,0,30,22,108,109,8,217,108.5,0.0737327188940092,40.2614678899083,39.7777777777778,67.1445852534562,78.8594971117907,"FIL30_756",NA,"FIL30_826",NA,39.7777777777778,"...","FIL30_756","FIL30_756_M2","FIL30.756.M2","FIL30_756|FIL30_756_M2|FIL30.756.M2",116,22,94,110,NA,110,75,75,NA,FALSE,FALSE,92,92,NA,1,TRUE,NA,FALSE,"FIL30_756_M2",62.2897105916755,"Cross","...","FIL30_826","FIL30_826_M2","FIL30.826.M2","FIL30_826|FIL30_826_M2|FIL30.826.M2",127,16,111,111,NA,111,81,81,NA,FALSE,FALSE,97,97,NA,1,TRUE,NA,FALSE,"FIL30_826_M2",52.6095924485571,"Cross"
"FIL30_826_M2660",718,661,"FIL30_826_M2","FIL30_756_M2",8,0,0,0,22,30,109,108,8,217,108.5,0.0737327188940092,39.7777777777778,40.2614678899083,67.1445852534562,78.8594971117907,"FIL30_826",NA,"FIL30_756",NA,39.7777777777778,"...","FIL30_826","FIL30_826_M2","FIL30.826.M2","FIL30_826|FIL30_826_M2|FIL30.826.M2",127,16,111,111,NA,111,81,81,NA,FALSE,FALSE,97,97,NA,1,TRUE,NA,FALSE,"FIL30_826_M2",52.6095924485571,"Cross","...","FIL30_756","FIL30_756_M2","FIL30.756.M2","FIL30_756|FIL30_756_M2|FIL30.756.M2",116,22,94,110,NA,110,75,75,NA,FALSE,FALSE,92,92,NA,1,TRUE,NA,FALSE,"FIL30_756_M2",62.2897105916755,"Cross"
"FIL20_66_E_M277",44,78,"FIL20_66_E_M2","FIL30_125_M2",5,0,0,0,26,18,60,76,5,136,68,0.0735294117647059,28.9868421052632,21.25,42.1029411764706,49.4912280701754,"FIL20_66",NA,"FIL30_125",NA,21.25,"...","FIL20_66","FIL20_66_E_M2","Fil20_66_E_M2_1","FIL20_66|FIL20_66_E_M2|Fil20_66_E_M2_1",74,21,53,62,NA,62,31,31,NA,TRUE,FALSE,51,51,NA,1,TRUE,NA,FALSE,"FIL20_66_E_M2_1",79.8706641981041,"Cross","...","FIL30_125","FIL30_125_M2","FIL30_125_M2-3","FIL30_125|FIL30_125_M2|FIL30_125_M2-3",86,10,76,77,NA,77,53,53,NA,FALSE,FALSE,69,69,NA,1,TRUE,NA,FALSE,"FIL30_125_M2_3",46.2265598580347,"Cross"
"FIL30_125_M243",78,44,"FIL30_125_M2","FIL20_66_E_M2",5,0,0,0,18,26,76,60,5,136,68,0.0735294117647059,21.25,28.9868421052632,42.1029411764706,49.4912280701754,"FIL30_125",NA,"FIL20_66",NA,21.25,"...","FIL30_125","FIL30_125_M2","FIL30_125_M2-3","FIL30_125|FIL30_125_M2|FIL30_125_M2-3",86,10,76,77,NA,77,53,53,NA,FALSE,FALSE,69,69,NA,1,TRUE,NA,FALSE,"FIL30_125_M2_3",46.2265598580347,"Cross","...","FIL20_66","FIL20_66_E_M2","Fil20_66_E_M2_1","FIL20_66|FIL20_66_E_M2|Fil20_66_E_M2_1",74,21,53,62,NA,62,31,31,NA,TRUE,FALSE,51,51,NA,1,TRUE,NA,FALSE,"FIL20_66_E_M2_1",79.8706641981041,"Cross"
"FIL20_20_A_M2736",25,737,"FIL20_20_A_M2","FIL30_85_G_M2",4,0,0,0,41,27,66,46,4,112,56,0.0714285714285714,16.0434782608696,25.7272727272727,34.8571428571429,41.1805006587615,"FIL20_20",NA,"FIL30_85",NA,16.0434782608696,"...","FIL20_20","FIL20_20_A_M2","Fil20_20_A_M2_1","FIL20_20|FIL20_20_A_M2|Fil20_20_A_M2_1",76,4,72,67,NA,67,25,25,NA,TRUE,FALSE,64,64,NA,1,TRUE,NA,FALSE,"FIL20_20_A_M2_1",71.0978573974045,"Cross","...","FIL30_85","FIL30_85_G_M2","Fil30_85_G_M2_1","FIL30_85|FIL30_85_G_M2|Fil30_85_G_M2_1",48,3,45,47,NA,47,18,18,NA,TRUE,FALSE,44,44,NA,1,TRUE,NA,FALSE,"FIL30_85_G_M2_1",52.3421349430027,"Cross"
"FIL30_85_G_M224",737,25,"FIL30_85_G_M2","FIL20_20_A_M2",4,0,0,0,27,41,46,66,4,112,56,0.0714285714285714,25.7272727272727,16.0434782608696,34.8571428571429,41.1805006587615,"FIL30_85",NA,"FIL20_20",NA,16.0434782608696,"...","FIL30_85","FIL30_85_G_M2","Fil30_85_G_M2_1","FIL30_85|FIL30_85_G_M2|Fil30_85_G_M2_1",48,3,45,47,NA,47,18,18,NA,TRUE,FALSE,44,44,NA,1,TRUE,NA,FALSE,"FIL30_85_G_M2_1",52.3421349430027,"Cross","...","FIL20_20","FIL20_20_A_M2","Fil20_20_A_M2_1","FIL20_20|FIL20_20_A_M2|Fil20_20_A_M2_1",76,4,72,67,NA,67,25,25,NA,TRUE,FALSE,64,64,NA,1,TRUE,NA,FALSE,"FIL20_20_A_M2_1",71.0978573974045,"Cross"
"FIL30_123_M2736",76,737,"FIL30_123_M2","FIL30_85_G_M2",6,0,0,0,19,27,123,46,6,169,84.5,0.0710059171597633,13.3478260869565,50.3780487804878,52.6531065088757,62.6505832449629,"FIL30_123",NA,"FIL30_85",NA,13.3478260869565,"...","FIL30_123","FIL30_123_M2","FIL30_123_M2-2","FIL30_123|FIL30_123_M2|FIL30_123_M2-2",136,29,107,125,1,124,100,100,NA,FALSE,FALSE,105,104,1,0.990476190476191,FALSE,NA,FALSE,"FIL30_123_M2_2",46.8506528590557,"Ambiguous","...","FIL30_85","FIL30_85_G_M2","Fil30_85_G_M2_1","FIL30_85|FIL30_85_G_M2|Fil30_85_G_M2_1",48,3,45,47,NA,47,18,18,NA,TRUE,FALSE,44,44,NA,1,TRUE,NA,FALSE,"FIL30_85_G_M2_1",52.3421349430027,"Cross"
"FIL30_85_G_M275",737,76,"FIL30_85_G_M2","FIL30_123_M2",6,0,0,0,27,19,46,123,6,169,84.5,0.0710059171597633,50.3780487804878,13.3478260869565,52.6531065088757,62.6505832449629,"FIL30_85",NA,"FIL30_123",NA,13.3478260869565,"...","FIL30_85","FIL30_85_G_M2","Fil30_85_G_M2_1","FIL30_85|FIL30_85_G_M2|Fil30_85_G_M2_1",48,3,45,47,NA,47,18,18,NA,TRUE,FALSE,44,44,NA,1,TRUE,NA,FALSE,"FIL30_85_G_M2_1",52.3421349430027,"Cross","...","FIL30_123","FIL30_123_M2","FIL30_123_M2-2","FIL30_123|FIL30_123_M2|FIL30_123_M2-2",136,29,107,125,1,124,100,100,NA,FALSE,FALSE,105,104,1,0.990476190476191,FALSE,NA,FALSE,"FIL30_123_M2_2",46.8506528590557,"Ambiguous"
"FIL20_161_E_M216",15,17,"FIL20_161_E_M2","FIL20_161_G_M2",5,0,0,0,24,36,49,93,5,142,71,0.0704225352112676,37.3064516129032,16.030612244898,44.306338028169,52.5580425718675,"FIL20_161",NA,"FIL20_161",NA,16.030612244898,"...","FIL20_161","FIL20_161_E_M2","Fil20_161_E_M2_1","FIL20_161|FIL20_161_E_M2|Fil20_161_E_M2_1",60,13,47,51,NA,51,24,24,NA,TRUE,FALSE,42,42,NA,1,TRUE,NA,FALSE,"FIL20_161_E_M2_1",70.4808573519194,"Cross","...","FIL20_161","FIL20_161_G_M2","Fil20_161_G_M2_1","FIL20_161|FIL20_161_G_M2|Fil20_161_G_M2_1",104,17,87,95,NA,95,56,56,NA,TRUE,FALSE,83,83,NA,1,TRUE,NA,FALSE,"FIL20_161_G_M2_1",45.0053428097403,"Cross"
